stress_module,mito_module,IFN_module,Ig_module,stress_marsh,stress_vanhove,stress_brink,stress_denisenko
,BDH1,,IGHV3OR16-9,,BP1,,
,BID,,IGHV4-28,,ZNF622,,
,BLOC1S1,,IGHV4-31,,H3-3B,,
,BNIP3,,IGHV4-34,,METRNL,,
,BNIP3L,,IGHV4-39,,ZC3H12A,,
,BOLA1,,IGHV4-4,,DJB1,,
,BOLA3,,IGHV4-55,,TRA2A,,
,BPHL,,IGHV4-59,,PHLDA1,,
,C10orf10,,IGHV4-61,,HERPUD1,,
,C10orf2,,IGHV4-80,,COQ10B,,
,C12orf10,,IGHV4OR15-8,,UBB,,
,C12orf65,,IGHV5-51,,UBE2S,,
,C14orf159,,IGHV5-78,,BTG2,,
,C14orf2,,IGHV6-1,,IER5,,
,C15orf40,,IGHV7-27,,SRSF2,,
,C15orf48,,IGHV7-34-1,,EGR1,,
,C15orf61,,IGHV7-40,,SDE2,,
,C16orf91,,IGHV7-56,,MAFK,,
,C17orf89,,IGHV7-81,,RGS1,,
,C19orf52,,IGHVII-1-1,,UBC,,
,C19orf70,,IGHVII-15-1,,KDM6B,,
,C1QBP,,IGHVII-20-1,,DDIT3,,
,C20orf24,,IGHVII-22-1,,JUNB,,
,C21orf33,,IGHVII-26-2,,NFE2L2,,
,C2orf47,,IGHVII-28-1,,HEXIM1,,
,C2orf69,,IGHVII-30-1,,SPTY2D1,,
,C3orf33,,IGHVII-31-1,,TUBA1C,,
,C5orf63,,IGHVII-33-1,,LM,,
,C6orf136,,IGHVII-40-1,,CREM,,
,C6orf203,,IGHVII-43-1,,PDE4B,,
,C6orf57,,IGHVII-44-2,,RAB7B,,
,C7orf55,,IGHVII-46-1,,TMED5,,
,C8orf82,,IGHVII-49-1,,SLC25A20,,
,CA5A,,IGHVII-51-2,,RASGEF1B,,
,CA5B,,IGHVII-53-1,,TAF7,,
,CARKD,,IGHVII-60-1,,ATF3,,
,CARS2,,IGHVII-62-1,,STAT3,,
,CASP8,,IGHVII-65-1,,REL,,
,CAT,,IGHVII-67-1,,SPP1,,
,CBR3,,IGHVII-74-1,,ACTG1,,
,CBR4,,IGHVII-78-1,,RILPL2,,
,CCBL2,,IGHVIII-11-1,,CD69,,
,CCDC109B,,IGHVIII-13-1,,CD14,,
,CCDC127,,IGHVIII-16-1,,RRAD,,
,CCDC51,,IGHVIII-2-1,,GPR171,,
,CCDC58,,IGHVIII-22-2,,NR4A3,,
,CCDC90B,,IGHVIII-25-1,,MXD1,,
,CCT7,,IGHVIII-26-1,,PRDX6,,
,CDC25C,,IGHVIII-38-1,,EGR2,,
,CECR5,,IGHVIII-44,,NR4A1,,
,CEP89,,IGHVIII-47-1,,CLK1,,
,CHCHD1,,IGHVIII-5-1,,CCNL1,,
,CHCHD10,,IGHVIII-5-2,,ARF4,,
,CHCHD2,,IGHV8-51-1,,HCAR2,,
,CHCHD3,,IGHVIII-67-2,,HCAR3,,
,CHCHD4,,IGHVIII-67-3,,JUND,,
,CHCHD5,,IGHVIII-67-4,,TSC22D2,,
,CHCHD6,,IGHVIII-76-1,,BCL2L11,,
,CHCHD7,,IGHVIII-82,,IER2,,
,CHDH,,IGHVIV-44-1,,MCL1,,
,CHPT1,,JCHAIN,,PLK3,,
,CISD1,,IGJCOR18,,,,
,CISD2,,JCHAINP1,,,,
,CISD3,,IGKC,,,,
,CKMT1A,,IGKJ1,,,,
,CKMT1B,,IGKJ2,,,,
,CKMT2,,IGKJ3,,,,
,CLIC4,,IGKJ4,,,,
,CLPB,,IGKJ5,,,,
,CLPP,,IGKV1-12,,,,
,CLPX,,IGKV1-13,,,,
,CLYBL,,IGKV1-16,,,,
,CMC1,,IGKV1-17,,,,
,CMC2,,IGKV1-22,,,,
,CMC4,,IGKV1-27,,,,
,CMPK2,,IGKV1-32,,,,
,COA1,,IGKV1-33,,,,
,COA3,,IGKV1-35,,,,
,COA4,,IGKV1-37,,,,
,COA5,,IGKV1-39,,,,
,COA6,,IGKV1-5,,,,
,COA7,,IGKV1-6,,,,
,COASY,,IGKV1-8,,,,
,COMT,,IGKV1-9,,,,
,COMTD1,,IGKV1D-12,,,,
,COQ10A,,IGKV1D-13,,,,
,COQ10B,,IGKV1D-16,,,,
,COQ2,,IGKV1D-17,,,,
,COQ3,,IGKV1D-22,,,,
,COQ4,,IGKV1D-27,,,,
,COQ5,,IGKV1D-32,,,,
,COQ6,,IGKV1D-33,,,,
,COQ7,,IGKV1D-35,,,,
,COQ9,,IGKV1D-37,,,,
,COX1,,IGKV1D-39,,,,
,COX10,,IGKV1D-42,,,,
,COX11,,IGKV1D-43,,,,
,COX14,,IGKV1D-8,,,,
,COX15,,IGKV1OR2-1,,,,
,COX16,,IGKV1OR-2,,,,
,COX17,,IGKV1OR-3,,,,
,COX18,,IGKV1OR10-1,,,,
,COX19,,IGKV1OR2-108,,,,
,COX2,,IGKV1OR2-11,,,,
,COX20,,IGKV1OR2-118,,,,
,COX3,,IGKV1OR2-3,,,,
,COX4I1,,IGKV1OR2-6,,,,
,COX4I2,,IGKV1OR2-9,,,,
,COX5A,,IGKV1OR22-1,,,,
,COX5B,,IGKV1OR22-5,,,,
,COX6A1,,IGKV2-10,,,,
,COX6A2,,IGKV2-14,,,,
,COX6B1,,IGKV2-18,,,,
,COX6B2,,IGKV2-19,,,,
,COX6C,,IGKV2-23,,,,
,COX7A1,,IGKV2-24,,,,
,COX7A2,,IGKV2-26,,,,
,COX7A2L,,IGKV2-28,,,,
,COX7B,,IGKV2-29,,,,
,COX7C,,IGKV2-30,,,,
,COX8A,,IGKV2-36,,,,
,COX8C,,IGKV2-38,,,,
,CPOX,,IGKV2-4,,,,
,CPS1,,IGKV2-40,,,,
,CPT1A,,IGKV2D-10,,,,
,CPT1B,,IGKV2D-14,,,,
,CPT1C,,IGKV2D-18,,,,
,CPT2,,IGKV2D-19,,,,
,CRAT,,IGKV2D-23,,,,
,CRLS1,,IGKV2D-24,,,,
,CROT,,IGKV2D-26,,,,
,CRY1,,IGKV2D-28,,,,
,CRYZ,,IGKV2D-29,,,,
,CS,,IGKV2D-30,,,,
,CYB5A,,IGKV2D-36,,,,
,CYB5B,,IGKV2D-38,,,,
,CYB5R2,,IGKV2D-40,,,,
,CYB5R3,,IGKV2OR2-1,,,,
,CYC1,,IGKV2OR2-10,,,,
,CYCS,,IGKV2OR2-2,,,,
,CYP11A1,,IGKV2OR2-7,,,,
,CYP11B2,,IGKV2OR2-7D,,,,
,CYP24A1,,IGKV2OR2-8,,,,
,CYP27A1,,IGKV2OR22-3,,,,
,CYP27B1,,IGKV2OR22-4,,,,
,CYTB,,IGKV3-11,,,,
,D2HGDH,,IGKV3-15,,,,
,DAP3,,IGKV3-20,,,,
,DARS2,,IGKV3-25,,,,
,DBI,,IGKV3-31,,,,
,DBT,,IGKV3-34,,,,
,DCAKD,,IGKV3-7,,,,
,DCXR,,IGKV3D-11,,,,
,DDAH1,,IGKV3D-15,,,,
,DDX28,,IGKV3D-20,,,,
,DECR1,,IGKV3D-25,,,,
,DGUOK,,IGKV3D-31,,,,
,DHCR24,,IGKV3D-34,,,,
,DHODH,,IGKV3D-7,,,,
,DHRS1,,IGKV3OR2-268,,,,
,DHRS4,,IGKV3OR2-5,,,,
,DHRS7B,,IGKV3OR22-2,,,,
,DHRSX,,IGKV4-1,,,,
,DHTKD1,,IGKV5-2,,,,
,DHX30,,IGKV6-21,,,,
,DIABLO,,IGKV6D-21,,,,
,DLAT,,IGKV6D-41,,,,
,DLD,,IGKV7-3,,,,
,DLST,,IGLC1,,,,
,DMGDH,,IGLC2,,,,
,DMPK,,IGLC3,,,,
,DNA2,,IGLC4,,,,
,DNAJA3,,IGLC5,,,,
,DNAJC11,,IGLC6,,,,
,DNAJC15,,IGLC7,,,,
,DNAJC19,,IGLCOR22-1,,,,
,DNAJC28,,IGLCOR22-2,,,,
,DNAJC30,,IGLJ1,,,,
,DNAJC4,,IGLJ2,,,,
,DNLZ,,IGLJ3,,,,
,DNM1L,,IGLJ4,,,,
,DTYMK,,IGLJ5,,,,
,DUS2,,IGLJ6,,,,
,DUSP26,,IGLJ7,,,,
,DUT,,IGLL1,,,,
,EARS2,,IGLL3P,,,,
,ECH1,,IGLL5,,,,
,ECHDC1,,IGLON5,,,,
,ECHDC2,,IGLV1-36,,,,
,ECHDC3,,IGLV1-40,,,,
,ECHS1,,IGLV1-41,,,,
,ECI1,,IGLV1-44,,,,
,ECI2,,IGLV1-47,,,,
,ECSIT,,IGLV1-50,,,,
,EEFSEC,,IGLV1-51,,,,
,EFHD1,,IGLV1-62,,,,
,EHHADH,,IGLV10-54,,,,
,ELAC2,,IGLV10-67,,,,
,EMC2,,IGLV11-55,,,,
,ENDOG,,IGLV2-11,,,,
,EPHX2,,IGLV2-14,,,,
,ERAL1,,IGLV2-18,,,,
,ETFA,,IGLV2-23,,,,
,ETFB,,IGLV2-28,,,,
